Biology Sample - Details,,,,,,,,,,,,,,,,,,,,,,,,
Lampung TEST - 2019,,,,,,,,,,,,,,,,,,,,,,,,
As of 19/09/2019 13:10,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
sample_date_time,monitor,vessel,location,first_receiver,species,scientific_name,code,berried_type,carapace_width,gonad_maturity_type,sex_type,weight,comments,create_date_time,created_by,update_date_time,updated_by,submit_date_time,validated,validation_date_time,validated_by,validation_comments,id,measurement_id
9/12/2019 13:00,Yadi Monitor,Unknown / Not listed,MGM,First Receiver/Buyer,Blue swimming crab,Portunus pelagicus,,Not applicable,11.2,Not applicable,Male,92,"nama kapal Y
pemilik Ato",9/13/2019 12:17,Yadi Monitor,9/13/2019 12:18,Yadi Monitor,9/13/2019 12:27,FALSE,,,,a84cae16-650f-4e47-baa9-376659acaa06,51924de3-325b-4de2-8179-ad069f4e31c5
9/12/2019 13:00,Arbi Monitor,MGM - O,MGM,First Receiver/Buyer,Blue swimming crab,Portunus pelagicus,,No,"12,1",Not applicable,Male,134,,9/13/2019 11:55,Arbi Monitor,9/13/2019 11:56,Arbi Monitor,9/13/2019 12:05,FALSE,,,,754a3d7d-6667-4366-a305-e501a7fe738b,026b5d21-f22b-47bc-b808-8ed23a195b8e
9/12/2019 13:00,Arbi Monitor,Unknown / Not listed,MGM,First Receiver/Buyer,Blue swimming crab,Portunus pelagicus,,No,"12,9",Mature,Female,128,nama kapal : Y,9/13/2019 11:49,Arbi Monitor,9/13/2019 11:49,Arbi Monitor,9/13/2019 12:05,FALSE,,,,36db8168-3002-40bb-82d2-760492200adb,d6199924-39d5-4f2b-bde6-0d19d392751a
9/12/2019 13:00,Yadi Monitor,MGM - C,MGM,First Receiver/Buyer,Blue swimming crab,Portunus pelagicus,,Not applicable,9,Not applicable,Male,42,,9/13/2019 12:24,Yadi Monitor,9/13/2019 12:24,Yadi Monitor,9/13/2019 12:27,FALSE,,,,534026d1-6493-4c96-840d-947c3e5151c0,346ce2eb-2256-4e6e-9ad0-26107b47d4a9
9/12/2019 13:00,Arbi Monitor,MGM - O,MGM,First Receiver/Buyer,Blue swimming crab,Portunus pelagicus,,No,"13,3",Not applicable,Male,179,,9/13/2019 11:55,Arbi Monitor,9/13/2019 11:56,Arbi Monitor,9/13/2019 12:05,FALSE,,,,754a3d7d-6667-4366-a305-e501a7fe738b,0dc4bd56-d97d-443a-baa9-3ee488f419f5
9/12/2019 13:00,Yadi Monitor,Unknown / Not listed,MGM,First Receiver/Buyer,Blue swimming crab,Portunus pelagicus,,Not applicable,11.7,Not applicable,Male,107,"nama kapal Y
pemilik Ato",9/13/2019 12:17,Yadi Monitor,9/13/2019 12:18,Yadi Monitor,9/13/2019 12:27,FALSE,,,,a84cae16-650f-4e47-baa9-376659acaa06,fb443770-be60-4094-90e2-b6e44475d42a
9/12/2019 13:00,Arbi Monitor,Unknown / Not listed,MGM,First Receiver/Buyer,Blue swimming crab,Portunus pelagicus,,No,"14,2",Not applicable,Male,222,nama kapal : Y,9/13/2019 11:49,Arbi Monitor,9/13/2019 11:49,Arbi Monitor,9/13/2019 12:05,FALSE,,,,36db8168-3002-40bb-82d2-760492200adb,c7b32438-64c1-46e8-b5b5-3469d27ada95
9/12/2019 13:00,Arbi Monitor,Unknown / Not listed,MGM,First Receiver/Buyer,Blue swimming crab,Portunus pelagicus,,No,"12,6",Not applicable,Male,141,nama kapal : Y,9/13/2019 11:49,Arbi Monitor,9/13/2019 11:49,Arbi Monitor,9/13/2019 12:05,FALSE,,,,36db8168-3002-40bb-82d2-760492200adb,081a8556-043d-42c3-bf47-a1c3a7c43d20
9/12/2019 13:00,Yadi Monitor,Unknown / Not listed,MGM,First Receiver/Buyer,Blue swimming crab,Portunus pelagicus,,No,12.8,Unknown,Female,136,"nama kapal Y
pemilik Ato",9/13/2019 12:17,Yadi Monitor,9/13/2019 12:18,Yadi Monitor,9/13/2019 12:27,FALSE,,,,a84cae16-650f-4e47-baa9-376659acaa06,d0763aa9-2439-47d6-82a9-35d851574d22
9/12/2019 13:00,Yadi Monitor,Unknown / Not listed,MGM,First Receiver/Buyer,Blue swimming crab,Portunus pelagicus,,Not applicable,14.5,Not applicable,Male,231,"nama kapal Y
pemilik Ato",9/13/2019 12:17,Yadi Monitor,9/13/2019 12:18,Yadi Monitor,9/13/2019 12:27,FALSE,,,,a84cae16-650f-4e47-baa9-376659acaa06,0459fec2-0d0b-4470-b4ed-de96f1fa6668
9/12/2019 13:00,Yadi Monitor,Unknown / Not listed,MGM,First Receiver/Buyer,Blue swimming crab,Portunus pelagicus,,Not applicable,12.6,Not applicable,Male,141,"nama kapal Y
pemilik Ato",9/13/2019 12:17,Yadi Monitor,9/13/2019 12:18,Yadi Monitor,9/13/2019 12:27,FALSE,,,,a84cae16-650f-4e47-baa9-376659acaa06,1104e601-69b3-47eb-a020-4af6af27dd05
9/12/2019 13:00,Yadi Monitor,MGM - C,MGM,First Receiver/Buyer,Blue swimming crab,Portunus pelagicus,,Not applicable,7.6,Not applicable,Male,24,,9/13/2019 12:24,Yadi Monitor,9/13/2019 12:24,Yadi Monitor,9/13/2019 12:27,FALSE,,,,534026d1-6493-4c96-840d-947c3e5151c0,fd4b8f3b-a6d1-4be7-aa7f-9a0fb6684408
9/12/2019 13:00,Arbi Monitor,MGM - O,MGM,First Receiver/Buyer,Blue swimming crab,Portunus pelagicus,,No,"12,5",Mature,Female,120,,9/13/2019 11:55,Arbi Monitor,9/13/2019 11:56,Arbi Monitor,9/13/2019 12:05,FALSE,,,,754a3d7d-6667-4366-a305-e501a7fe738b,9fbb08b1-5465-428a-9126-1866e0f9ac11
9/12/2019 13:00,Arbi Monitor,MGM - O,MGM,First Receiver/Buyer,Blue swimming crab,Portunus pelagicus,,No,"11,5",Mature,Female,91,,9/13/2019 11:55,Arbi Monitor,9/13/2019 11:56,Arbi Monitor,9/13/2019 12:05,FALSE,,,,754a3d7d-6667-4366-a305-e501a7fe738b,87ecee20-6366-40a0-a6c7-66ae2b1f7469
9/12/2019 13:00,Yadi Monitor,Unknown / Not listed,MGM,First Receiver/Buyer,Blue swimming crab,Portunus pelagicus,,Not applicable,10,Not applicable,Male,56,"nama kapal Y
pemilik Ato",9/13/2019 12:17,Yadi Monitor,9/13/2019 12:18,Yadi Monitor,9/13/2019 12:27,FALSE,,,,a84cae16-650f-4e47-baa9-376659acaa06,69679cb7-4ec8-4e6f-ae85-f758492184eb
