Landing - Summary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lampung TEST - 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
As of 19/09/2019 13:08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
start_date_time,monitor,vessel,fishing_effort,days_per_trip,location,area,area_2,area_3,gear_method,gear_count,net_pieces_per_unit,total_length,net_height,mesh_size,soak_time,water_depth,bait_fish_species_1,bait_fish_species_2,bait_fish_species_3,bait_fish_weight,personal_use_weight,ice_weight,weight,pieces,comments,create_date_time,created_by,update_date_time,updated_by,submit_date_time,validated,validation_date_time,validated_by,validation_comments,id
9/13/2019 11:49,Yadi Monitor,MGM - C,1,1,MGM,207,,,Gill Net,1kambangan,1p,2000,1,3.5,12,7,,,,,,,4.2,1,,9/13/2019 11:49,Yadi Monitor,9/13/2019 11:49,Yadi Monitor,9/13/2019 12:27,FALSE,,,,4684c132-a57d-40c5-926b-779f6d713ac4
9/13/2019 11:47,Yadi Monitor,MGM - D1,1,1,MGM,208,,,Gill Net,1kambangan,15,3000,1,3.5,12,7,,,,,,,1,1,,9/13/2019 11:47,Yadi Monitor,9/13/2019 11:47,Yadi Monitor,9/13/2019 12:27,FALSE,,,,7f3abdff-763b-41b4-8d4c-fa3291fbb9a6
9/13/2019 11:41,Arbi Monitor,MGM - O,1,1,MGM,184,,,Gill Net,1,10,2000,1,"3,5",12,7,,,,,,,2.5,,,9/13/2019 11:41,Arbi Monitor,9/13/2019 11:41,Arbi Monitor,9/13/2019 12:05,FALSE,,,,88dcc247-78d1-4165-8225-7bb5b0714b65
9/12/2019 13:00,Arbi Monitor,Unknown / Not listed,1,1,MGM,207,,,Gill Net,1,10,2000,1,"3,5",12,7,,,,,,,3.5,5,nama kapal : Y,9/13/2019 11:39,Arbi Monitor,9/13/2019 11:40,Arbi Monitor,9/13/2019 12:05,FALSE,,,,848aa1e3-c02e-41c1-918a-362c7808264c
9/11/2019 13:00,Arbi Monitor,MGM - M,1,1,MGM,196,,,Gill Net,1,11,2200,1,"3,5",12,7,,,,,,,1,,,9/13/2019 11:34,Arbi Monitor,9/13/2019 11:34,Arbi Monitor,9/13/2019 12:05,FALSE,,,,11df31a5-5731-49bf-879c-85b56325786c
9/11/2019 13:00,Arbi Monitor,MGM - D1,1,1,MGM,184,,,Gill Net,1,15,3000,1,"3,5",12,7,,,,,,,2,1,,9/13/2019 11:35,Arbi Monitor,9/13/2019 11:36,Arbi Monitor,9/13/2019 12:05,FALSE,,,,06c9e886-fc14-43c1-b35c-ca4ec9a9ac76
9/11/2019 13:00,Yadi Monitor,Unknown / Not listed,1,1,MGM,195,,,Gill Net,1kambangan,10,2000,1,3.5,12,7,,,,,,,4.5,4,,9/13/2019 11:39,Yadi Monitor,9/13/2019 11:40,Yadi Monitor,9/13/2019 12:27,FALSE,,,,274fdff2-b28c-40ab-aee0-195a0abe6056
9/11/2019 13:00,Yadi Monitor,MGM - C,1,1,MGM,207,,,Gill Net,1kambangan,10,2000,1,3.5,12,7,,,,,,,5.2,,,9/13/2019 11:44,Yadi Monitor,9/13/2019 11:45,Yadi Monitor,9/13/2019 12:27,FALSE,,,,4e94013c-c2e7-4013-ae6c-5f2565741988
9/11/2019 13:00,Yadi Monitor,MGM - H,1,1,MGM,185,,,Gill Net,1kambangan,11,2200,1,3.5,12,7,,,,,,,3.2,,,9/13/2019 11:42,Yadi Monitor,9/13/2019 11:43,Yadi Monitor,9/13/2019 12:27,FALSE,,,,a42e9712-ff71-42b0-91e5-3fbd48e8f11e
9/11/2019 13:00,Arbi Monitor,MGM - P1,1,1,MGM,184,,,Gill Net,1,10,2000,1,"3,5",12,7,,,,,,,1.8,,,9/13/2019 11:37,Arbi Monitor,9/13/2019 11:38,Arbi Monitor,9/13/2019 12:05,FALSE,,,,8dea3d5c-b517-4b37-9bb2-6bfc9708a92f
9/11/2019 10:03,Yadi Monitor,MGM - C,1,1,MGM,207,,,Gill Net,1kambangan,10,2000,1,3.5,12,7,,,,,,,8.2,3,,9/11/2019 10:03,Yadi Monitor,9/11/2019 10:04,Yadi Monitor,9/11/2019 17:24,FALSE,,,,7c334a3b-2d3c-4b41-98a1-77be2ed33ba1
9/11/2019 10:00,Yadi Monitor,MGM - M,1,1,MGM,185,,,Gill Net,1kambangan,11,2200,1,3.5,12,7,,,,,,,2,2,,9/11/2019 10:00,Yadi Monitor,9/11/2019 10:02,Yadi Monitor,9/11/2019 17:24,FALSE,,,,ce5fb56a-83ab-4a72-87ae-48384d672bb8
9/11/2019 9:17,Arbi Monitor,MGM - D1,1,1,MGM,196,,,Gill Net,1,15,3000,1,"3,5",12,7,,,,,,,2.2,2,,9/11/2019 9:17,Arbi Monitor,9/11/2019 9:18,Arbi Monitor,9/11/2019 17:24,FALSE,,,,9818bf2d-6aaa-472d-acaf-03007699ce04
9/10/2019 13:00,Arbi Monitor,MGM - P1,1,1,MGM,184,,,Gill Net,1,10,2000,1,"3,5",12,7,,,,,,,2,3,,9/11/2019 9:16,Arbi Monitor,9/11/2019 9:16,Arbi Monitor,9/11/2019 17:24,FALSE,,,,b636a55d-0b7f-4201-9ddd-0631ef3d9965
9/9/2019 13:00,Arbi Monitor,Unknown / Not listed,1,1,MGM,196,,,Gill Net,1,10,2000,1,"3,5",12,7,,,,,,,1.5,,nama kapal : Y,9/11/2019 9:14,Arbi Monitor,9/11/2019 9:16,Arbi Monitor,9/11/2019 17:24,FALSE,,,,b1a07824-873c-4717-bc0c-d1dbdfa2cb60
9/8/2019 13:00,Yadi Monitor,MGM - D1,1,1,MGM,184,,,Gill Net,1kambangan,15,3000,1,3.5,12,7,,,,,,,1,,,9/11/2019 9:40,Yadi Monitor,9/11/2019 9:41,Yadi Monitor,9/11/2019 17:24,FALSE,,,,03d78fd0-4580-4f0d-89bd-94ee90f3ffb2
9/8/2019 13:00,Arbi Monitor,MGM - D,1,1,MGM,185,,,Gill Net,1,10,2000,1,"3,5",12,7,,,,,,,2.2,2,,9/11/2019 9:10,Arbi Monitor,9/11/2019 9:11,Arbi Monitor,9/11/2019 17:24,FALSE,,,,07a5763a-46bc-4dec-8410-1f636fadd5f9
9/8/2019 13:00,Yadi Monitor,MGM - C,1,1,MGM,184,,,Gill Net,1kambangan,10,2200,1,3.5,12,7,,,,,,,2.8,3,,9/11/2019 9:36,Yadi Monitor,9/11/2019 9:36,Yadi Monitor,9/11/2019 17:24,FALSE,,,,2dc5bf63-cff0-4310-a080-5d7e1c7146ea
9/8/2019 13:00,Arbi Monitor,MGM - U,1,1,MGM,196,,,Gill Net,1,13,2600,1,"3,5",1,7,,,,,,,3,,,9/11/2019 9:12,Arbi Monitor,9/11/2019 9:13,Arbi Monitor,9/11/2019 17:24,FALSE,,,,fdc69a87-1c7d-49bb-880a-bb8302e0a0f9
9/8/2019 13:00,Yadi Monitor,MGM - O,1,1,MGM,195,,,Gill Net,1kambangan,10,2000,1,3.5,12,7,,,,,,,2.4,1,,9/11/2019 9:38,Yadi Monitor,9/11/2019 9:38,Yadi Monitor,9/11/2019 17:24,FALSE,,,,50f93f3a-7b75-46b3-8284-8bdad086a560
9/7/2019 13:00,Yadi Monitor,MGM - C,1,1,MGM,196,,,Gill Net,1kambangan,10,2000,1,3.5,12,7,,,,,,,5,,,9/11/2019 9:31,Yadi Monitor,9/11/2019 9:32,Yadi Monitor,9/11/2019 17:24,FALSE,,,,7016d477-71a0-4a09-9ccb-888e255466dd
9/7/2019 13:00,Arbi Monitor,MGM - U,1,1,MGM,207,,,Gill Net,1,13,2600,7,"3,5",12,7,,,,,,,2,1,,9/11/2019 9:06,Arbi Monitor,9/11/2019 9:07,Arbi Monitor,9/11/2019 17:24,FALSE,,,,688997c5-69cb-4608-a411-4ba5a47f5085
9/7/2019 13:00,Arbi Monitor,MGM - D1,1,1,MGM,195,,,Gill Net,1,15,3000,1,"3,5",12,7,,,,,,,0.5,,,9/11/2019 9:58,Arbi Monitor,9/11/2019 9:59,Arbi Monitor,9/11/2019 17:24,FALSE,,,,22fcb86b-cf4a-44bd-a0f0-d3b6bdcccf50
9/7/2019 13:00,Arbi Monitor,MGM - H,1,1,MGM,195,,,Gill Net,1,11,2200,7,"3,5",12,7,,,,,,,3.7,1,,9/11/2019 9:04,Arbi Monitor,9/11/2019 9:05,Arbi Monitor,9/11/2019 17:24,FALSE,,,,371b49ec-9fd1-4556-bf6a-f98590cfb7f7
9/7/2019 13:00,Yadi Monitor,MGM - M,1,1,MGM,196,,,Gill Net,1kambangan,11,2200,1,3.5,12,7,,,,,,,3,2,,9/11/2019 9:20,Yadi Monitor,9/11/2019 9:21,Yadi Monitor,9/11/2019 17:24,FALSE,,,,1c9b88fd-fada-4349-a8d1-0ee24ba1480c
9/7/2019 13:00,Yadi Monitor,MGM - P1,1,1,MGM,184,,,Gill Net,1kambangan,10,2000,1,3.5,12,7,,,,,,,2,6,,9/11/2019 9:28,Yadi Monitor,9/11/2019 9:29,Yadi Monitor,9/11/2019 17:24,FALSE,,,,3750a34a-cac7-4007-bb8e-cc83ce3d1b78
9/6/2019 13:00,Yadi Monitor,MGM - M,1,1,MGM,185,,,Gill Net,1kambangan,11,2200,1,3.5,12,7,,,,,,,3.6,2,,9/11/2019 9:08,Yadi Monitor,9/11/2019 9:08,Yadi Monitor,9/11/2019 17:24,FALSE,,,,276260a7-da8c-4f96-888d-b0d03a30e7c6
9/6/2019 13:00,Arbi Monitor,MGM - P1,1,1,MGM,184,,,Gill Net,1,10,2000,1,"3,5",12,7,,,,,,,3.4,,,9/11/2019 9:00,Arbi Monitor,9/11/2019 9:00,Arbi Monitor,9/11/2019 17:24,FALSE,,,,58e52200-eebe-4cce-81e5-e3cb3dc7e4b0
9/6/2019 13:00,Yadi Monitor,MGM - D1,1,1,MGM,196,,,Gill Net,1kambangan,15,3000,1,3.5,12,7,,,,,,,0.8,1,,9/11/2019 9:16,Yadi Monitor,9/11/2019 9:16,Yadi Monitor,9/11/2019 17:24,FALSE,,,,400045d0-e02e-412f-80e0-8e6732778bb9
9/6/2019 10:01,Yadi Monitor,MGM - M,1,1,MGM,183,,,Gill Net,1kambangan,11,2200,1,3.5,12,7,,,,,,,1.2,,,9/6/2019 10:01,Yadi Monitor,9/6/2019 10:03,Yadi Monitor,9/11/2019 17:23,FALSE,,,,8bf1ae11-100f-49a0-876d-f67e44ed783e
9/6/2019 9:55,Arbi Monitor,MGM - O,1,1,MGM,184,,,Gill Net,1,10,2000,1,"3,5",12,7,,,,,,,2.2,10,,9/6/2019 9:55,Arbi Monitor,9/6/2019 9:56,Arbi Monitor,9/11/2019 17:23,FALSE,,,,b2f5453c-9ac1-4030-999c-a42634c6c97f
